0	0.501671
1	0.457380
2	0.500704
3	0.444120
4	0.461039
5	0.475436
6	0.468210
7	0.499638
8	0.565741
9	0.490700
10	0.499964
11	0.473570
12	0.510459
13	0.497800
14	0.408079
15	0.457201
16	0.457486
17	0.566998
18	0.507411
19	0.473081
20	0.442328
21	0.475852
22	0.397422
23	0.516039
24	0.354449
25	0.448677
26	0.443060
27	0.479121
28	0.502815
29	0.471093
30	0.529334
31	0.396013
32	0.496314
33	0.459102
34	0.544414
35	0.432935
36	0.376667
37	0.475871
38	0.496638
39	0.544107
40	0.437449
41	0.514592
42	0.487711
43	0.529031
44	0.504331
45	0.492228
46	0.410466
47	0.433498
48	0.409502
49	0.505543
50	0.481170
51	0.544268
52	0.425885
53	0.382030
54	0.500497
55	0.491413
56	0.444173
57	0.437702
58	0.370593
59	0.556093
60	0.468601
61	0.399921
62	0.437177
63	0.490765
64	0.508397
65	0.533177
66	0.510379
67	0.476911
68	0.412101
69	0.556837
70	0.416736
71	0.533835
72	0.373333
73	0.403071
74	0.456879
75	0.517400
76	0.411473
77	0.510115
78	0.562501
79	0.426607
80	0.323801
81	0.460846
82	0.497290
83	0.456494
84	0.443046
85	0.513126
86	0.469135
87	0.442432
88	0.526887
89	0.406263
90	0.477354
91	0.460595
92	0.469101
93	0.479012
94	0.577888
95	0.473323
96	0.480107
97	0.496818
98	0.500663
99	0.501760
100	0.416462
101	0.453790
102	0.456074
103	0.563758
104	0.521795
105	0.463790
106	0.434315
107	0.475872
108	0.382822
109	0.517984
110	0.385010
111	0.407468
112	0.472656
113	0.458609
114	0.517576
115	0.478670
116	0.516306
117	0.397077
118	0.499469
119	0.478064
120	0.547731
121	0.424170
122	0.366498
123	0.471495
124	0.487552
125	0.555173
126	0.435099
127	0.517606
128	0.490485
129	0.518995
130	0.514755
131	0.495671
132	0.406219
133	0.429860
134	0.415275
135	0.517855
136	0.457505
137	0.555843
138	0.416650
139	0.371644
140	0.505122
141	0.475000
142	0.435136
143	0.423856
144	0.380968
145	0.555626
146	0.450452
147	0.383914
148	0.458972
149	0.468251
